example_id                                                 | status  | run_time        |
./spec/policies/area_policy_spec.rb[1:7:2]                 | passed  | 0.01922 seconds |
./spec/policies/area_policy_spec.rb[1:7:3]                 | passed  | 0.01054 seconds |
./spec/policies/area_policy_spec.rb[1:7:4]                 | passed  | 0.01173 seconds |
./spec/policies/area_policy_spec.rb[1:7:5]                 | passed  | 0.01155 seconds |
./spec/policies/child_policy_spec.rb[1:1:1:1]              | passed  | 0.00665 seconds |
./spec/policies/child_policy_spec.rb[1:1:1:2]              | passed  | 0.00703 seconds |
./spec/policies/child_policy_spec.rb[1:1:1:3]              | passed  | 0.00612 seconds |
./spec/policies/child_policy_spec.rb[1:1:1:4]              | passed  | 0.00622 seconds |
./spec/policies/child_policy_spec.rb[1:1:1:5]              | passed  | 0.00631 seconds |
./spec/policies/child_policy_spec.rb[1:1:1:6]              | passed  | 0.00643 seconds |
./spec/policies/child_policy_spec.rb[1:2:1:1]              | passed  | 0.00745 seconds |
./spec/policies/child_policy_spec.rb[1:2:1:2]              | passed  | 0.0093 seconds  |
./spec/policies/child_policy_spec.rb[1:2:1:3]              | passed  | 0.01571 seconds |
./spec/policies/child_policy_spec.rb[1:2:1:4]              | passed  | 0.00667 seconds |
./spec/policies/child_policy_spec.rb[1:2:1:5]              | passed  | 0.0063 seconds  |
./spec/policies/child_policy_spec.rb[1:2:1:6]              | passed  | 0.00645 seconds |
./spec/policies/child_policy_spec.rb[1:3:1:1]              | passed  | 0.00638 seconds |
./spec/policies/child_policy_spec.rb[1:3:1:2]              | passed  | 0.00688 seconds |
./spec/policies/child_policy_spec.rb[1:3:1:3]              | passed  | 0.00645 seconds |
./spec/policies/child_policy_spec.rb[1:3:1:4]              | passed  | 0.00782 seconds |
./spec/policies/child_policy_spec.rb[1:3:1:5]              | passed  | 0.0069 seconds  |
./spec/policies/child_policy_spec.rb[1:3:1:6]              | passed  | 0.00695 seconds |
./spec/policies/child_policy_spec.rb[1:4:1]                | passed  | 0.01612 seconds |
./spec/policies/child_policy_spec.rb[1:4:2]                | passed  | 0.015 seconds   |
./spec/policies/child_policy_spec.rb[1:4:3]                | passed  | 0.01487 seconds |
./spec/policies/child_policy_spec.rb[1:4:4]                | passed  | 0.01484 seconds |
./spec/policies/child_policy_spec.rb[1:4:5]                | passed  | 0.01608 seconds |
./spec/policies/child_policy_spec.rb[1:4:6]                | passed  | 0.01665 seconds |
./spec/policies/child_policy_spec.rb[1:5:1]                | passed  | 0.00648 seconds |
./spec/policies/child_policy_spec.rb[1:5:2]                | passed  | 0.00653 seconds |
./spec/policies/child_policy_spec.rb[1:5:3]                | passed  | 0.0064 seconds  |
./spec/policies/child_policy_spec.rb[1:5:4]                | passed  | 0.00598 seconds |
./spec/policies/child_policy_spec.rb[1:5:5]                | passed  | 0.00622 seconds |
./spec/policies/child_policy_spec.rb[1:5:6]                | passed  | 0.00636 seconds |
